Time,Distance,SPM,Pace,Force Plot
3.36,4988.7,0,159.043624301,17,17,43,43,73,88,88,98,98,119,128,128,143,145,145,150,149,155,155,154,158,158,158,154,156,155,155,155,153,152,148,146,145,141,141,139,134,130,124,122,109,103,94,88,75,75,59,41,30,22
6.36,4977.0,21,140.945974641,41,41,71,100,102,102,115,121,121,136,146,154,157,157,157,159,159,160,161,161,161,154,155,153,151,148,142,141,134,129,123,117,117,113,106,101,93,81,73,63,54,41,28,16
9.2,4965.5,21,126.966937592,30,54,54,88,90,95,95,100,107,117,117,124,129,132,133,133,137,140,143,147,147,150,148,148,153,151,151,150,143,142,134,131,128,121,114,107,99,90,78,68,56,39,26,9
197.66,4943.4,21,123.237291806,
